study_accession	experiment_accession	experiment_title	experiment_desc	organism_taxid 	organism_name	library_strategy	library_source	library_selection	sample_accession	sample_title	instrument	total_spots	total_size	run_accession	run_total_spots	run_total_bases
SRP256957	SRX8213955	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0097	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0097	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	cDNA	SRS6573160		Illumina MiSeq	292047	13124132	SRR11652930	292047	28470959
SRP256957	SRX8213954	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0095	Amplicon-based sequencing of SARS-CoV-2: VA-DCLS-0095	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	cDNA	SRS6573158		Illumina MiSeq	481716	21345009	SRR11652931	481716	46884029
ERP121228	ERX4078924	Illumina MiSeq paired end sequencing; COG-UK/CVR135/GLAS:200402_M01569_0127_000000000-J47HM	Illumina MiSeq paired end sequencing; COG-UK/CVR135/GLAS:200402_M01569_0127_000000000-J47HM	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4519646		Illumina MiSeq	380082	44381499	ERR4082776	380082	189573064
ERP121228	ERX4078921	Illumina MiSeq paired end sequencing; COG-UK/CVR134/GLAS:200331_M02383_0063_000000000-J34RN	Illumina MiSeq paired end sequencing; COG-UK/CVR134/GLAS:200331_M02383_0063_000000000-J34RN	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4519645		Illumina MiSeq	176250	20724917	ERR4082773	176250	87772174
ERP121228	ERX4078916	Illumina MiSeq paired end sequencing; COG-UK/CVR133/GLAS:200331_M02383_0063_000000000-J34RN	Illumina MiSeq paired end sequencing; COG-UK/CVR133/GLAS:200331_M02383_0063_000000000-J34RN	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4519644		Illumina MiSeq	183566	21272412	ERR4082768	183566	91208331
ERP121228	ERX4078912	Illumina MiSeq paired end sequencing; COG-UK/CVR132/GLAS:200331_M02383_0063_000000000-J34RN	Illumina MiSeq paired end sequencing; COG-UK/CVR132/GLAS:200331_M02383_0063_000000000-J34RN	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4519643		Illumina MiSeq	138895	16252249	ERR4082764	138895	69126313
ERP121228	ERX4078907	Illumina MiSeq paired end sequencing; COG-UK/CVR131/GLAS:200331_M02383_0063_000000000-J34RN	Illumina MiSeq paired end sequencing; COG-UK/CVR131/GLAS:200331_M02383_0063_000000000-J34RN	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4519641		Illumina MiSeq	185021	22174606	ERR4082759	185021	91804106
ERP121228	ERX4078903	Illumina MiSeq paired end sequencing; COG-UK/CVR130/GLAS:200402_M01569_0127_000000000-J47HM	Illumina MiSeq paired end sequencing; COG-UK/CVR130/GLAS:200402_M01569_0127_000000000-J47HM	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4519640		Illumina MiSeq	341842	39011002	ERR4082755	341842	170522067
ERP121228	ERX4078902	Illumina MiSeq paired end sequencing; COG-UK/CVR13/GLAS:200321_M02383_0062_000000000-J36P2	Illumina MiSeq paired end sequencing; COG-UK/CVR13/GLAS:200321_M02383_0062_000000000-J36P2	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4519642		Illumina MiSeq	216730	25509925	ERR4082754	216730	108226064
ERP121228	ERX4078899	Illumina MiSeq paired end sequencing; COG-UK/CVR129/GLAS:200331_M02383_0063_000000000-J34RN	Illumina MiSeq paired end sequencing; COG-UK/CVR129/GLAS:200331_M02383_0063_000000000-J34RN	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4519639		Illumina MiSeq	159379	18618728	ERR4082751	159379	79438100
ERP121228	ERX4078898	Illumina MiSeq paired end sequencing; COG-UK/CVR128/GLAS:200331_M02383_0063_000000000-J34RN	Illumina MiSeq paired end sequencing; COG-UK/CVR128/GLAS:200331_M02383_0063_000000000-J34RN	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4519638		Illumina MiSeq	170189	22003959	ERR4082750	170189	84512738
ERP121228	ERX4078879	Illumina MiSeq paired end sequencing; COG-UK/CVR11/GLAS:200321_M02383_0062_000000000-J36P2	Illumina MiSeq paired end sequencing; COG-UK/CVR11/GLAS:200321_M02383_0062_000000000-J36P2	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4519623		Illumina MiSeq	220015	29022584	ERR4082721	220015	109839876
ERP121228	ERX4078877	Illumina MiSeq paired end sequencing; COG-UK/CVR1085/GLAS:200419_M01569_0133_000000000-J456R	Illumina MiSeq paired end sequencing; COG-UK/CVR1085/GLAS:200419_M01569_0133_000000000-J456R	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535834		Illumina MiSeq	89556	10425611	ERR4082720	89556	40867760
ERP121228	ERX4078876	Illumina MiSeq paired end sequencing; COG-UK/CVR1081/GLAS:200419_M01569_0133_000000000-J456R	Illumina MiSeq paired end sequencing; COG-UK/CVR1081/GLAS:200419_M01569_0133_000000000-J456R	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535833		Illumina MiSeq	331909	36414687	ERR4082718	331909	165317054
ERP121228	ERX4078875	Illumina MiSeq paired end sequencing; COG-UK/CVR108/GLAS:200321_M02383_0062_000000000-J36P2	Illumina MiSeq paired end sequencing; COG-UK/CVR108/GLAS:200321_M02383_0062_000000000-J36P2	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4519621		Illumina MiSeq	195416	22710104	ERR4082717	195416	97572994
ERP121228	ERX4078874	Illumina MiSeq paired end sequencing; COG-UK/CVR107/GLAS:200321_M01569_0125_000000000-J34GH	Illumina MiSeq paired end sequencing; COG-UK/CVR107/GLAS:200321_M01569_0125_000000000-J34GH	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4519620		Illumina MiSeq	458451	58861796	ERR4082716	458451	228938472
ERP121228	ERX4078872	Illumina MiSeq paired end sequencing; COG-UK/CVR106/GLAS:200321_M02383_0062_000000000-J36P2	Illumina MiSeq paired end sequencing; COG-UK/CVR106/GLAS:200321_M02383_0062_000000000-J36P2	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4519619		Illumina MiSeq	225386	25863950	ERR4082715	225386	112550166
ERP121228	ERX4078868	MinION sequencing; COG-UK/CVR1034/GLAS:20200416_1502_MN23634_FAN47393_5ca34a2b	MinION sequencing; COG-UK/CVR1034/GLAS:20200416_1502_MN23634_FAN47393_5ca34a2b	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535828		MinION	864048	362203310	ERR4082714	864048	424444497
ERP121228	ERX4078867	Illumina MiSeq paired end sequencing; COG-UK/CVR103/GLAS:200321_M02383_0062_000000000-J36P2	Illumina MiSeq paired end sequencing; COG-UK/CVR103/GLAS:200321_M02383_0062_000000000-J36P2	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4519617		Illumina MiSeq	177215	20503051	ERR4082713	177215	88515163
ERP121228	ERX4078866	GridION sequencing; COG-UK/CAMB-7FC53/CAMB:20200418_1636_X2_FAN42727_10bad1ba	GridION sequencing; COG-UK/CAMB-7FC53/CAMB:20200418_1636_X2_FAN42727_10bad1ba	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535826		GridION	309237	134288879	ERR4082712	309237	159166137
ERP121228	ERX4078865	GridION sequencing; COG-UK/CAMB-7FC17/CAMB:20200418_1636_X2_FAN42727_10bad1ba	GridION sequencing; COG-UK/CAMB-7FC17/CAMB:20200418_1636_X2_FAN42727_10bad1ba	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535823		GridION	198137	85755565	ERR4082711	198137	101484685
ERP121228	ERX4078863	GridION sequencing; COG-UK/CAMB-7FBA1/CAMB:20200418_1636_X2_FAN42727_10bad1ba	GridION sequencing; COG-UK/CAMB-7FBA1/CAMB:20200418_1636_X2_FAN42727_10bad1ba	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535818		GridION	261219	113225868	ERR4082710	261219	134077789
ERP121228	ERX4078852	GridION sequencing; COG-UK/CAMB-7B0D3/CAMB:20200415_1235_X3_FAN42621_19a7c2db	GridION sequencing; COG-UK/CAMB-7B0D3/CAMB:20200415_1235_X3_FAN42621_19a7c2db	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535773		GridION	140436	61279490	ERR4082689	140436	72116658
ERP121228	ERX4078851	GridION sequencing; COG-UK/CAMB-7B0C4/CAMB:20200415_1428_X4_FAN22380_3f3d1ff3	GridION sequencing; COG-UK/CAMB-7B0C4/CAMB:20200415_1428_X4_FAN22380_3f3d1ff3	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535772		GridION	313548	135162634	ERR4082688	313548	160464736
ERP121228	ERX4078850	GridION sequencing; COG-UK/CAMB-7B0B5/CAMB:20200415_1428_X4_FAN22380_3f3d1ff3	GridION sequencing; COG-UK/CAMB-7B0B5/CAMB:20200415_1428_X4_FAN22380_3f3d1ff3	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535771		GridION	204134	87872720	ERR4082687	204134	104314138
ERP121228	ERX4078848	GridION sequencing; COG-UK/CAMB-7B097/CAMB:20200415_1428_X4_FAN22380_3f3d1ff3	GridION sequencing; COG-UK/CAMB-7B097/CAMB:20200415_1428_X4_FAN22380_3f3d1ff3	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535769		GridION	95946	41483245	ERR4082686	95946	49030102
ERP121228	ERX4078846	GridION sequencing; COG-UK/CAMB-7B088/CAMB:20200415_1428_X4_FAN22380_3f3d1ff3	GridION sequencing; COG-UK/CAMB-7B088/CAMB:20200415_1428_X4_FAN22380_3f3d1ff3	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535768		GridION	193764	83560202	ERR4082684	193764	99000130
ERP121228	ERX4078845	GridION sequencing; COG-UK/CAMB-7B06A/CAMB:20200415_1428_X4_FAN22380_3f3d1ff3	GridION sequencing; COG-UK/CAMB-7B06A/CAMB:20200415_1428_X4_FAN22380_3f3d1ff3	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535767		GridION	176068	75921708	ERR4082683	176068	90141841
ERP121228	ERX4078844	GridION sequencing; COG-UK/CAMB-7B05B/CAMB:20200415_1428_X4_FAN22380_3f3d1ff3	GridION sequencing; COG-UK/CAMB-7B05B/CAMB:20200415_1428_X4_FAN22380_3f3d1ff3	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535766		GridION	76217	33047317	ERR4082682	76217	38965547
ERP121228	ERX4078843	GridION sequencing; COG-UK/CAMB-7B02E/CAMB:20200415_1428_X4_FAN22380_3f3d1ff3	GridION sequencing; COG-UK/CAMB-7B02E/CAMB:20200415_1428_X4_FAN22380_3f3d1ff3	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535765		GridION	302015	129935572	ERR4082681	302015	154252328
ERP121228	ERX4078842	GridION sequencing; COG-UK/CAMB-7B01F/CAMB:20200415_1428_X4_FAN22380_3f3d1ff3	GridION sequencing; COG-UK/CAMB-7B01F/CAMB:20200415_1428_X4_FAN22380_3f3d1ff3	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535764		GridION	273367	117380893	ERR4082680	273367	139441460
ERP121228	ERX4078841	GridION sequencing; COG-UK/CAMB-7B000/CAMB:20200414_1335_X2_FAN40850_ab979344	GridION sequencing; COG-UK/CAMB-7B000/CAMB:20200414_1335_X2_FAN40850_ab979344	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535763		GridION	126089	53585697	ERR4082679	126089	64025977
ERP121228	ERX4078840	GridION sequencing; COG-UK/CAMB-7AFF5/CAMB:20200414_1335_X2_FAN40850_ab979344	GridION sequencing; COG-UK/CAMB-7AFF5/CAMB:20200414_1335_X2_FAN40850_ab979344	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535762		GridION	243247	103615375	ERR4082678	243247	123814987
ERP121228	ERX4078839	GridION sequencing; COG-UK/CAMB-7AFB9/CAMB:20200414_1335_X2_FAN40850_ab979344	GridION sequencing; COG-UK/CAMB-7AFB9/CAMB:20200414_1335_X2_FAN40850_ab979344	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535761		GridION	51926	22198666	ERR4082677	51926	26359517
ERP121228	ERX4078838	GridION sequencing; COG-UK/CAMB-7AFAA/CAMB:20200414_1335_X2_FAN40850_ab979344	GridION sequencing; COG-UK/CAMB-7AFAA/CAMB:20200414_1335_X2_FAN40850_ab979344	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535760		GridION	194966	83230338	ERR4082676	194966	99277289
ERP121228	ERX4078837	GridION sequencing; COG-UK/CAMB-7AF8C/CAMB:20200414_1335_X2_FAN40850_ab979344	GridION sequencing; COG-UK/CAMB-7AF8C/CAMB:20200414_1335_X2_FAN40850_ab979344	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535759		GridION	31740	13619398	ERR4082675	31740	16074590
ERP121228	ERX4078836	GridION sequencing; COG-UK/CAMB-7AF7D/CAMB:20200414_1335_X2_FAN40850_ab979344	GridION sequencing; COG-UK/CAMB-7AF7D/CAMB:20200414_1335_X2_FAN40850_ab979344	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535758		GridION	258313	109892653	ERR4082674	258313	131389974
ERP121228	ERX4078835	GridION sequencing; COG-UK/CAMB-7AF6E/CAMB:20200414_1335_X2_FAN40850_ab979344	GridION sequencing; COG-UK/CAMB-7AF6E/CAMB:20200414_1335_X2_FAN40850_ab979344	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535757		GridION	93864	40049929	ERR4082673	93864	47648076
ERP121228	ERX4078834	GridION sequencing; COG-UK/CAMB-7AF5F/CAMB:20200414_1335_X2_FAN40850_ab979344	GridION sequencing; COG-UK/CAMB-7AF5F/CAMB:20200414_1335_X2_FAN40850_ab979344	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535756		GridION	183131	78115718	ERR4082672	183131	93179595
ERP121228	ERX4078833	GridION sequencing; COG-UK/CAMB-7AF40/CAMB:20200414_1335_X2_FAN40850_ab979344	GridION sequencing; COG-UK/CAMB-7AF40/CAMB:20200414_1335_X2_FAN40850_ab979344	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535755		GridION	244613	104518256	ERR4082671	244613	124598397
ERP121228	ERX4078832	GridION sequencing; COG-UK/CAMB-7AF31/CAMB:20200414_1335_X2_FAN40850_ab979344	GridION sequencing; COG-UK/CAMB-7AF31/CAMB:20200414_1335_X2_FAN40850_ab979344	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535754		GridION	245939	104685712	ERR4082670	245939	124959871
ERP121228	ERX4078831	GridION sequencing; COG-UK/CAMB-7AF22/CAMB:20200414_1335_X2_FAN40850_ab979344	GridION sequencing; COG-UK/CAMB-7AF22/CAMB:20200414_1335_X2_FAN40850_ab979344	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535753		GridION	161284	68868598	ERR4082669	161284	82236681
ERP121228	ERX4078830	GridION sequencing; COG-UK/CAMB-7AF13/CAMB:20200414_1335_X2_FAN40850_ab979344	GridION sequencing; COG-UK/CAMB-7AF13/CAMB:20200414_1335_X2_FAN40850_ab979344	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535752		GridION	205812	87541375	ERR4082668	205812	104502375
ERP121228	ERX4078793	GridION sequencing; COG-UK/CAMB-7AF04/CAMB:20200414_1335_X2_FAN40850_ab979344	GridION sequencing; COG-UK/CAMB-7AF04/CAMB:20200414_1335_X2_FAN40850_ab979344	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535715		GridION	245727	104176782	ERR4082667	245727	124657306
ERP121228	ERX4078792	GridION sequencing; COG-UK/CAMB-7AEF8/CAMB:20200414_1335_X2_FAN40850_ab979344	GridION sequencing; COG-UK/CAMB-7AEF8/CAMB:20200414_1335_X2_FAN40850_ab979344	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535714		GridION	281457	119975738	ERR4082630	281457	143337816
ERP121228	ERX4078791	GridION sequencing; COG-UK/CAMB-7AEE9/CAMB:20200414_1335_X2_FAN40850_ab979344	GridION sequencing; COG-UK/CAMB-7AEE9/CAMB:20200414_1335_X2_FAN40850_ab979344	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535713		GridION	256595	108862610	ERR4082629	256595	130175562
ERP121228	ERX4078790	GridION sequencing; COG-UK/CAMB-7AEDA/CAMB:20200414_1335_X2_FAN40850_ab979344	GridION sequencing; COG-UK/CAMB-7AEDA/CAMB:20200414_1335_X2_FAN40850_ab979344	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535712		GridION	272959	116099573	ERR4082628	272959	138687141
ERP121228	ERX4078789	GridION sequencing; COG-UK/CAMB-7AECB/CAMB:20200414_1335_X2_FAN40850_ab979344	GridION sequencing; COG-UK/CAMB-7AECB/CAMB:20200414_1335_X2_FAN40850_ab979344	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535711		GridION	64341	27391942	ERR4082627	64341	32558584
ERP121228	ERX4078788	GridION sequencing; COG-UK/CAMB-7AE9E/CAMB:20200414_1226_X1_FAN22241_117d0976	GridION sequencing; COG-UK/CAMB-7AE9E/CAMB:20200414_1226_X1_FAN22241_117d0976	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535710		GridION	77531	33470271	ERR4082626	77531	39483572
ERP121228	ERX4078786	GridION sequencing; COG-UK/CAMB-7AE61/CAMB:20200414_1226_X1_FAN22241_117d0976	GridION sequencing; COG-UK/CAMB-7AE61/CAMB:20200414_1226_X1_FAN22241_117d0976	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535708		GridION	211659	91571552	ERR4082624	211659	107954079
ERP121228	ERX4078785	GridION sequencing; COG-UK/CAMB-7AE52/CAMB:20200414_1226_X1_FAN22241_117d0976	GridION sequencing; COG-UK/CAMB-7AE52/CAMB:20200414_1226_X1_FAN22241_117d0976	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535707		GridION	194171	83616963	ERR4082623	194171	98809921
ERP121228	ERX4078784	GridION sequencing; COG-UK/CAMB-7AE43/CAMB:20200414_1226_X1_FAN22241_117d0976	GridION sequencing; COG-UK/CAMB-7AE43/CAMB:20200414_1226_X1_FAN22241_117d0976	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535706		GridION	214274	92317323	ERR4082622	214274	109277515
ERP121228	ERX4078783	GridION sequencing; COG-UK/CAMB-7AE34/CAMB:20200414_1226_X1_FAN22241_117d0976	GridION sequencing; COG-UK/CAMB-7AE34/CAMB:20200414_1226_X1_FAN22241_117d0976	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535705		GridION	165007	71137233	ERR4082621	165007	84042011
ERP121228	ERX4078782	GridION sequencing; COG-UK/CAMB-7AE25/CAMB:20200414_1226_X1_FAN22241_117d0976	GridION sequencing; COG-UK/CAMB-7AE25/CAMB:20200414_1226_X1_FAN22241_117d0976	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535704		GridION	90265	39192706	ERR4082620	90265	46065617
ERP121228	ERX4078781	GridION sequencing; COG-UK/CAMB-7AE07/CAMB:20200414_1226_X1_FAN22241_117d0976	GridION sequencing; COG-UK/CAMB-7AE07/CAMB:20200414_1226_X1_FAN22241_117d0976	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535703		GridION	142606	61445358	ERR4082619	142606	72634007
ERP121228	ERX4078779	GridION sequencing; COG-UK/CAMB-7ADFB/CAMB:20200414_1226_X1_FAN22241_117d0976	GridION sequencing; COG-UK/CAMB-7ADFB/CAMB:20200414_1226_X1_FAN22241_117d0976	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535702		GridION	46028	20008050	ERR4082618	46028	23423345
ERP121228	ERX4078778	GridION sequencing; COG-UK/CAMB-7ADEC/CAMB:20200414_1226_X1_FAN22241_117d0976	GridION sequencing; COG-UK/CAMB-7ADEC/CAMB:20200414_1226_X1_FAN22241_117d0976	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535701		GridION	196462	84664195	ERR4082616	196462	99998538
ERP121228	ERX4078777	GridION sequencing; COG-UK/CAMB-7ADDD/CAMB:20200414_1226_X1_FAN22241_117d0976	GridION sequencing; COG-UK/CAMB-7ADDD/CAMB:20200414_1226_X1_FAN22241_117d0976	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	ERS4535700		GridION	145068	62666977	ERR4082615	145068	73839408
