study_accession	experiment_accession	experiment_title	experiment_desc	organism_taxid 	organism_name	library_strategy	library_source	library_selection	sample_accession	sample_title	instrument	total_spots	total_size	run_accession	run_total_spots	run_total_bases
SRP250661	SRX7798735	WGS of Coronavirus:clinical sample	WGS of Coronavirus:clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	WGS	GENOMIC	RANDOM	SRS6213612		MinION	775912	385017266	SRR11178051	775912	421622706
SRP250661	SRX7798734	WGS of Coronavirus:clinical sample	WGS of Coronavirus:clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	WGS	GENOMIC	RANDOM	SRS6213611		MinION	2142901	922741349	SRR11178052	2142901	1000052155
SRP250661	SRX7798733	WGS of Coronavirus:clinical sample	WGS of Coronavirus:clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	WGS	GENOMIC	RANDOM	SRS6213610		MinION	860687	331100955	SRR11178053	860687	363625817
SRP250661	SRX7798732	WGS of Coronavirus:clinical sample	WGS of Coronavirus:clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	WGS	GENOMIC	RANDOM	SRS6213609		MinION	586546	287766211	SRR11178054	586546	316335060
SRP250661	SRX7798731	WGS of Coronavirus:clinical sample	WGS of Coronavirus:clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	WGS	GENOMIC	RANDOM	SRS6213608		MinION	1052685	554666910	SRR11178055	1052685	600378949
SRP250661	SRX7798730	WGS of Coronavirus:clinical sample	WGS of Coronavirus:clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	WGS	GENOMIC	RANDOM	SRS6213607		MinION	808223	404802894	SRR11178056	808223	443789956
SRP250661	SRX7798729	WGS of Coronavirus:clinical sample	WGS of Coronavirus:clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	WGS	GENOMIC	RANDOM	SRS6213606		MinION	1089986	475737679	SRR11178057	1089986	518864113
SRP251618	SRX7852918	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	VIRAL RNA	unspecified	SRS6262461		Illumina MiSeq	131952	4502386	SRR11241254	131952	22249638
SRP251618	SRX7852917	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	VIRAL RNA	unspecified	SRS6262460		Illumina MiSeq	123353	4854747	SRR11241255	123353	22252301
SRP251618	SRX7857605	RNA-Seq of Severe  acute respiratory syndrome coronavirus 2	RNA-Seq of Severe  acute respiratory syndrome coronavirus 2	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	VIRAL RNA	unspecified	SRS6266707		Illumina MiSeq	10454	440815	SRR11247075	10454	888775
SRP251618	SRX7857604	RNA-Seq of Severe  acute respiratory syndrome coronavirus 2	RNA-Seq of Severe  acute respiratory syndrome coronavirus 2	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	VIRAL RNA	unspecified	SRS6266706		Illumina MiSeq	61329	2640519	SRR11247076	61329	11080510
SRP251618	SRX7857603	RNA-Seq of Severe  acute respiratory syndrome coronavirus 2	RNA-Seq of Severe  acute respiratory syndrome coronavirus 2	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	VIRAL RNA	unspecified	SRS6266705		Illumina MiSeq	643627	21122755	SRR11247077	643627	118148011
SRP251618	SRX7857602	RNA-Seq of Severe  acute respiratory syndrome coronavirus 2	RNA-Seq of Severe  acute respiratory syndrome coronavirus 2	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	VIRAL RNA	unspecified	SRS6266704		Illumina MiSeq	1087374	37244510	SRR11247078	1087374	199651225
SRP250446	SRX7874203	GridION RNA sequencing of coronavirus:SARS-CoV-2/Australia/VIC01/2020	GridION RNA sequencing of coronavirus:SARS-CoV-2/Australia/VIC01/2020	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	VIRAL RNA	Oligo-dT	SRS6201528		GridION	779208	859122004	SRR11267570	779208	910279521
SRP252022	SRX7874444	Detect SARS-CoV-2 genomic mutations from  fecal swab samples	Detect SARS-CoV-2 genomic mutations from  fecal swab samples	2697049	Severe acute respiratory syndrome coronavirus 2	WGA	METAGENOMIC	RANDOM PCR	SRS6282736		BGISEQ-500	107	85399	SRR11267811	107	9951
SRP251618	SRX7884335	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	VIRAL RNA	unspecified	SRS6294173		NextSeq 500	24424	409227	SRR11278090	24424	1830456
SRP251618	SRX7884334	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	VIRAL RNA	unspecified	SRS6294172		NextSeq 500	597251	4630806	SRR11278091	597251	44717558
SRP251618	SRX7884333	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	VIRAL RNA	unspecified	SRS6294171		NextSeq 500	101360	977847	SRR11278092	101360	7592719
SRP251618	SRX7884411	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	VIRAL RNA	unspecified	SRS6294250		NextSeq 500	3801124	36188829	SRR11278164	3801124	284858490
SRP251618	SRX7884410	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	VIRAL RNA	unspecified	SRS6294249		NextSeq 500	122658	1549024	SRR11278165	122658	9173640
SRP251618	SRX7884409	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	VIRAL RNA	unspecified	SRS6294248		NextSeq 500	8213820	78215367	SRR11278166	8213820	615986088
SRP251618	SRX7884408	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	VIRAL RNA	unspecified	SRS6294247		NextSeq 500	10124079	101917956	SRR11278167	10124079	759300927
SRP251618	SRX7884407	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	RNA-Seq of Severe acute respiratory syndrome coronavirus 2	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	VIRAL RNA	unspecified	SRS6294246		NextSeq 500	44159	616037	SRR11278168	44159	2913504
SRP250446	SRX7884843	GridION RNA sequencing of coronavirus:SARS-CoV-2/Australia/VIC01/2020	GridION RNA sequencing of coronavirus:SARS-CoV-2/Australia/VIC01/2020	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	VIRAL RNA	Oligo-dT	SRS6201528		GridION	4000	1634318	SRR11278600	4000	1968400
SRP250446	SRX7906017	GridION RNA sequencing of coronavirus:SARS-CoV-2/Australia/VIC01/2020/virion	GridION RNA sequencing of coronavirus:SARS-CoV-2/Australia/VIC01/2020/virion	2697049	Severe acute respiratory syndrome coronavirus 2	RNA-Seq	VIRAL RNA	Oligo-dT	SRS6313628		GridION	430923	398083711	SRR11300652	430923	416793360
SRP252977	SRX7917756	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324143		GridION	104	176103	SRR11313269	104	103835
SRP252977	SRX7917955	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324343		GridION	50	109326	SRR11313270	50	31239
SRP252977	SRX7917954	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324341		GridION	76	129329	SRR11313271	76	53058
SRP252977	SRX7917953	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324340		GridION	21	100844	SRR11313272	21	22225
SRP252977	SRX7917952	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324339		GridION	1	78348	SRR11313273	1	410
SRP252977	SRX7917951	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324338		GridION	1978	1423974	SRR11313274	1978	1466036
SRP252977	SRX7917950	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324337		GridION	200	208445	SRR11313275	200	139403
SRP252977	SRX7917949	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324336		GridION	2741	1722468	SRR11313276	2741	1790911
SRP252977	SRX7917948	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324334		GridION	244	220445	SRR11313277	244	152322
SRP252977	SRX7917947	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324335		GridION	35	124781	SRR11313278	35	48522
SRP252977	SRX7917946	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324333		GridION	1	79449	SRR11313279	1	1258
SRP252977	SRX7917945	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324332		GridION	29840	19626474	SRR11313280	29840	21328421
SRP252977	SRX7917944	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324330		GridION	2769	1846539	SRR11313281	2769	1926994
SRP252977	SRX7917943	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324331		GridION	82	166664	SRR11313282	82	94454
SRP252977	SRX7917942	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324329		GridION	19	106563	SRR11313283	19	28449
SRP252977	SRX7917941	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324328		GridION	1	79719	SRR11313284	1	1458
SRP252977	SRX7917940	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324327		GridION	20814	13606413	SRR11313285	20814	14759827
SRP252977	SRX7917939	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324326		GridION	1628	1112254	SRR11313286	1628	1124662
SRP252977	SRX7917938	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324324		GridION	22374	14198094	SRR11313287	22374	15397651
SRP252977	SRX7917937	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324325		GridION	5202	2600463	SRR11313288	5202	2746094
SRP252977	SRX7917936	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324323		GridION	1821	1191913	SRR11313289	1821	1210380
SRP252977	SRX7917935	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324322		GridION	207	180549	SRR11313290	207	109785
SRP252977	SRX7917934	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324321		GridION	6185	5059669	SRR11313291	6185	5446065
SRP252977	SRX7917933	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324320		GridION	3180	2596911	SRR11313292	3180	2752369
SRP252977	SRX7917932	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324319		GridION	1608	1355493	SRR11313293	1608	1394642
SRP252977	SRX7917931	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324318		GridION	800	726413	SRR11313294	800	706757
SRP252977	SRX7917930	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324317		GridION	252	276476	SRR11313295	252	214139
SRP252977	SRX7917929	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324316		GridION	7900	5331666	SRR11313296	7900	5722143
SRP252977	SRX7917928	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324315		GridION	4193	2845328	SRR11313297	4193	3012829
SRP252977	SRX7917927	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324314		GridION	2138	1488844	SRR11313298	2138	1535424
SRP252977	SRX7917926	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324313		GridION	1055	774800	SRR11313299	1055	757401
SRP252977	SRX7917925	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324312		GridION	77	157432	SRR11313300	77	84079
SRP252977	SRX7917924	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324311		GridION	328	296905	SRR11313301	328	236202
SRP252977	SRX7917923	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324310		GridION	14019	9783020	SRR11313302	14019	10587822
SRP252977	SRX7917922	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324309		GridION	7216	5048514	SRR11313303	7216	5421095
SRP252977	SRX7917921	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324308		GridION	3680	2607635	SRR11313304	3680	2758116
SRP252977	SRX7917920	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324307		GridION	1864	1356960	SRR11313305	1864	1393213
SRP252977	SRX7917919	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324305		GridION	655	529408	SRR11313306	655	489686
SRP252977	SRX7917918	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324306		GridION	20623	13093359	SRR11313307	20623	14194243
SRP252977	SRX7917917	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324304		GridION	10313	6569725	SRR11313308	10313	7078703
SRP252977	SRX7917916	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324303		GridION	5133	3295818	SRR11313309	5133	3508951
SRP252977	SRX7917915	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324302		GridION	2651	1740506	SRR11313310	2651	1812236
SRP252977	SRX7917914	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324301		GridION	6	84967	SRR11313311	6	4837
SRP252977	SRX7917913	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324300		GridION	859	623254	SRR11313312	859	592506
SRP252977	SRX7917912	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324298		GridION	16203	12369103	SRR11313313	16203	13451056
SRP252977	SRX7917911	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324299		GridION	7679	5869426	SRR11313314	7679	6337037
SRP252977	SRX7917910	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324297		GridION	3780	2904262	SRR11313315	3780	3091121
SRP252977	SRX7917909	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324296		GridION	1950	1540106	SRR11313316	1950	1597782
SRP252977	SRX7917908	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324295		GridION	638	553518	SRR11313317	638	517640
SRP252977	SRX7917907	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324294		GridION	1556	1129064	SRR11313318	1556	1141773
SRP252977	SRX7917906	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324293		GridION	811	624632	SRR11313319	811	592655
SRP252977	SRX7917905	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324292		GridION	423	365821	SRR11313320	423	310929
SRP252977	SRX7917904	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324291		GridION	227	234187	SRR11313321	227	167619
SRP252977	SRX7917903	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324290		GridION	58	149191	SRR11313322	58	75186
SRP252977	SRX7917902	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324289		GridION	93	142601	SRR11313323	93	67631
SRP252977	SRX7917901	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324288		GridION	1448	675010	SRR11313324	1448	645674
SRP252977	SRX7917900	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324287		GridION	779	396992	SRR11313325	779	343667
SRP252977	SRX7917899	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324285		GridION	411	252969	SRR11313326	411	187577
SRP252977	SRX7917898	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324286		GridION	217	173490	SRR11313327	217	100887
SRP252977	SRX7917897	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324284		GridION	69	115050	SRR11313328	69	37367
SRP252977	SRX7917896	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324283		GridION	80	110740	SRR11313329	80	32653
