	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
10	ERR4181712	2020-05-30 20:42:40	2020-05-30 23:28:10	26961	13050472	26961	484	6		https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4181/ERR4181712	ERX4145134		WGA	RT-PCR	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP120836	PRJEB37513		621271	ERS4477973	SAMEA6750243	simple	2697049	Severe acute respiratory syndrome coronavirus 2	hCoV-19/Spain/Valencia53/2020							no					FISABIO - PUBLIC HEALTH	ERA2652044		public	252F43E23A1471185CD8654C4BC4EE56	2DA85E9D9E8C91F81A7FEAE3A755E5C3
11	ERR4181713	2020-05-30 20:42:40	2020-05-30 23:28:22	214073	124806709	214073	583	64		https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4181/ERR4181713	ERX4145135		WGA	RT-PCR	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP120836	PRJEB37513		621271	ERS4477983	SAMEA6750253	simple	2697049	Severe acute respiratory syndrome coronavirus 2	hCoV-19/Spain/Valencia62/2020							no					FISABIO - PUBLIC HEALTH	ERA2652045		public	4608EC6BB73807D7288BC29BB5FF7154	A516926889803640204B7E16E8E94803
12	ERR4181709	2020-05-30 20:42:40	2020-05-31 02:04:22	0	0	0	0	78		https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4181/ERR4181709	ERX4145131		WGA	RT-PCR	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP120836	PRJEB37513		621271	ERS4477993	SAMEA6750263	simple	2697049	Severe acute respiratory syndrome coronavirus 2	hCoV-19/Spain/Valencia72/2020							no					FISABIO - PUBLIC HEALTH	ERA2652041		public	CE57893B86AEC9A2CD59518DC8AA4FE5	26F5D07AB8CA4106FB25091AC1A16E3A
13	ERR4181715	2020-05-30 20:46:08	2020-05-30 23:28:46	215709	125533249	215709	581	62		https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4181/ERR4181715	ERX4145137		WGA	RT-PCR	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP120836	PRJEB37513		621271	ERS4478001	SAMEA6750271	simple	2697049	Severe acute respiratory syndrome coronavirus 2	hCoV-19/Spain/Valencia79/2020							no					FISABIO - PUBLIC HEALTH	ERA2652047		public	02A0E1F3051BD69393C895666688DC45	775F37C35057D32B59D861BEEACB25CC
14	ERR4181711	2020-05-30 20:42:40	2020-05-30 23:28:00	187737	109405757	187737	582	56		https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4181/ERR4181711	ERX4145133		WGA	RT-PCR	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP120836	PRJEB37513		621271	ERS4478019	SAMEA6750289	simple	2697049	Severe acute respiratory syndrome coronavirus 2	hCoV-19/Spain/Valencia97/2020							no					FISABIO - PUBLIC HEALTH	ERA2652043		public	84AB9217607EAE8F54C38A8CF2D9B2CD	131B3FD2D8D1BE5FB5F0C17F8472E87C
15	ERR4181710	2020-05-30 20:42:40	2020-05-30 23:27:47	243086	141688512	243086	582	70		https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4181/ERR4181710	ERX4145132		WGA	RT-PCR	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP120836	PRJEB37513		621271	ERS4478021	SAMEA6750291	simple	2697049	Severe acute respiratory syndrome coronavirus 2	hCoV-19/Spain/Valencia99/2020							no					FISABIO - PUBLIC HEALTH	ERA2652042		public	BAD135F9E812579C9897C2762B606374	835FAAB0B95956C68D0BC1AC3961A162
16	ERR4085109	2020-05-02 13:11:46	2020-05-03 01:53:19	222601	111154807	222455	499	25	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085109	ERX4082102		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4519614	SAMEA6791942	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR100							no					UNIVERSITY OF GLASGOW	ERA2537348		public	A7317040CC748E0D04EEBB2E9F2AA09B	66161A56A570CAF4F37480036A237A32
17	ERR4085110	2020-05-02 13:11:46	2020-05-03 01:53:06	268225	133694994	268092	498	31	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085110	ERX4082103		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4538413	SAMEA6810766	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR1000							no					UNIVERSITY OF GLASGOW	ERA2537352		public	C8C1A5A5959934F58C01A037DDAA91A9	D2986EF03AC289B1B99945CD44F52581
18	ERR4085111	2020-05-02 13:11:46	2020-05-03 01:53:50	407266	203399247	407095	499	49	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085111	ERX4082104		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4519615	SAMEA6791943	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR101							no					UNIVERSITY OF GLASGOW	ERA2537355		public	006AF0DF8816152875A2DC8072052B64	BD130D0FA1777CA028D8D64CA5AA746D
19	ERR4085112	2020-05-02 13:11:46	2020-05-03 01:53:31	200708	100234342	200545	499	22	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085112	ERX4082105		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4519616	SAMEA6791944	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR102							no					UNIVERSITY OF GLASGOW	ERA2537357		public	AD8514D991DC6D12D02C64B1B2093D02	526F5538A0286271E69DEF9EFE3A5F1F
20	ERR4085118	2020-05-02 13:11:46	2020-05-02 18:23:23	231959	115444107	231547	497	28	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085118	ERX4082107		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4538414	SAMEA6810767	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR1063							no					UNIVERSITY OF GLASGOW	ERA2537372		public	173B91E68C12775DD4C1685B3444DF7D	94CBA03F2C323DB296D9121CDC15F7E2
21	ERR4085119	2020-05-02 13:11:46	2020-05-02 18:23:27	231185	115105557	230895	497	25	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085119	ERX4082108		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4535832	SAMEA6808182	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR1068							no					UNIVERSITY OF GLASGOW	ERA2537375		public	38896FDFCA8EB25904296EDC00D8F9B3	80E5A29994F837346EC64142156440F1
22	ERR4085120	2020-05-02 13:11:46	2020-05-02 18:23:24	332902	166006603	332678	498	35	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085120	ERX4082109		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4538415	SAMEA6810768	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR1069							no					UNIVERSITY OF GLASGOW	ERA2537378		public	6EAB44F69C2BDE7D149D255525DE2C68	C57B424E9BB98D89C49AE4063A4FBCA5
23	ERR4085121	2020-05-02 13:11:46	2020-05-02 18:23:48	284262	141684825	283931	498	29	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085121	ERX4082110		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4538416	SAMEA6810769	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR1093							no					UNIVERSITY OF GLASGOW	ERA2537382		public	A1638D2BAF12590E26862FB7254CF959	0FE724C8424F7033504802D232293E85
24	ERR4085124	2020-05-02 13:11:46	2020-05-02 18:23:35	308748	153666604	308442	497	32	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085124	ERX4082111		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4538417	SAMEA6810770	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR1115							no					UNIVERSITY OF GLASGOW	ERA2537389		public	7449B2B50FDC177989BDB798B19034B7	BE74368B2ECB0A19F1AA5108B27B92CF
25	ERR4085125	2020-05-02 13:11:46	2020-05-02 18:23:58	330429	164470138	329192	497	49	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085125	ERX4082112		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4519624	SAMEA6791952	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR112							no					UNIVERSITY OF GLASGOW	ERA2537392		public	66843DC1F3005F53FF07A9A13D0E9602	91FFE95BE5B02CB8C6782B9212755008
26	ERR4085127	2020-05-02 13:11:46	2020-05-02 18:23:48	120258	56502139	120155	469	13	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085127	ERX4082114		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4535836	SAMEA6808186	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR1129							no					UNIVERSITY OF GLASGOW	ERA2537398		public	ED541BCD5C40F961962163A50E2A0CBD	CE7C83A7A5ABC7786880B5F3DF291AE7
27	ERR4085128	2020-05-02 13:11:46	2020-05-02 18:23:49	282163	140901686	282033	499	31	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085128	ERX4082115		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4519625	SAMEA6791953	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR113							no					UNIVERSITY OF GLASGOW	ERA2537401		public	721A0D5132B3B4BBC69DC94930D1E243	909347AAF4D89F07E3047AD62243664D
28	ERR4085131	2020-05-02 15:11:49	2020-05-03 02:54:54	217431	107527416	217143	494	27	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085131	ERX4082117		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4535840	SAMEA6808190	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR1140							no					UNIVERSITY OF GLASGOW	ERA2537408		public	44F5527BBBA2BEA3AA11A3EDB50F0FE1	01044616F92EC425C25B4E72AF0E1A83
29	ERR4085133	2020-05-02 15:11:48	2020-05-02 19:22:30	274484	136609788	274111	497	30	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085133	ERX4082118		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4538419	SAMEA6810772	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR1159							no					UNIVERSITY OF GLASGOW	ERA2537415		public	F95F095253E414155650BAA4478361A3	8B2E682A142A46A024C700DC8F62CD35
30	ERR4085134	2020-05-02 15:11:48	2020-05-02 19:22:34	269238	134196430	268749	498	30	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085134	ERX4082119		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4519629	SAMEA6791957	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR117							no					UNIVERSITY OF GLASGOW	ERA2537418		public	DB33F105DF0B18E98FBD9AB8DB06F6DD	EE8652BB1426510644E1EA9926F419B8
31	ERR4085136	2020-05-02 15:11:49	2020-05-02 19:22:30	246312	123033331	246196	499	27	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085136	ERX4082120		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4519632	SAMEA6791960	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR12							no					UNIVERSITY OF GLASGOW	ERA2537423		public	9295C9D10EE759C95D902C521D2AE4C9	6A601D92A51B76625EAE8DD3E315516C
32	ERR4085137	2020-05-02 15:11:49	2020-05-02 19:22:31	183825	91477303	183016	497	22	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085137	ERX4082121		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4519631	SAMEA6791959	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR120							no					UNIVERSITY OF GLASGOW	ERA2537425		public	CA687312BC603204C815C32A36355325	ED421B15FF27B918667EB8A8BD7B873D
33	ERR4085139	2020-05-02 15:11:48	2020-05-02 19:22:25	24056	7476956	24022	310	2	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085139	ERX4082123		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4519633	SAMEA6791961	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR122							no					UNIVERSITY OF GLASGOW	ERA2537432		public	DAACE698C409281F3E94FE83D0E1D7E5	E9765FB352AB39621280AC59DB238C31
34	ERR4085140	2020-05-02 15:11:48	2020-05-02 19:22:35	277896	138419937	277310	498	34	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085140	ERX4082124		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4538421	SAMEA6810774	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR1222							no					UNIVERSITY OF GLASGOW	ERA2537435		public	303BDE7140BC819B15CDEE1E80233435	CD8F634484C8C2236D3AEEAB035910F9
35	ERR4085142	2020-05-02 15:11:49	2020-05-02 19:22:41	364058	181210559	363374	497	45	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085142	ERX4082126		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4519636	SAMEA6791964	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR125							no					UNIVERSITY OF GLASGOW	ERA2537441		public	882E34B073EE0725F98A19FCCEB362B2	608B23593689CD70B8C33A912AB1A2A4
36	ERR4085143	2020-05-02 15:11:49	2020-05-02 19:22:35	350442	174743636	350235	498	41	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085143	ERX4082127		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4535844	SAMEA6808194	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR1252							no					UNIVERSITY OF GLASGOW	ERA2537444		public	CA4AFCDB0D9D2AF26D8A1EFBE3F81BE9	ADE96ABF2DD0BD6B11849E318011A4E4
37	ERR4085144	2020-05-02 15:11:48	2020-05-02 19:22:34	294778	146818452	294091	498	32	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085144	ERX4082128		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4519637	SAMEA6791965	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR126							no					UNIVERSITY OF GLASGOW	ERA2537446		public	8780B3212DBA95E07294C2901F5AE6F6	847416E12F41E006104503C4AC49D48C
38	ERR4085145	2020-05-02 15:11:48	2020-05-02 19:22:37	339176	169105598	338875	498	38	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085145	ERX4082129		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4538422	SAMEA6810775	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR1261							no					UNIVERSITY OF GLASGOW	ERA2537450		public	555E6D2AA5319831640D2996846A7138	C49C577A39402A8A2CAE50581D5D6D8E
39	ERR4085146	2020-05-02 15:11:48	2020-05-02 19:22:32	313540	156205807	313126	498	41	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085146	ERX4082130		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4538423	SAMEA6810776	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR1266							no					UNIVERSITY OF GLASGOW	ERA2537453		public	167B3EC984D14DFE3C0D9B4AAA26CCF3	860B6CB97BA32617225DD1B815BF6FFA
40	ERR4085147	2020-05-02 15:11:49	2020-05-02 19:22:36	353625	176393093	353438	498	37	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085147	ERX4082131		AMPLICON	PCR	VIRAL RNA	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4535845	SAMEA6808195	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR1267							no					UNIVERSITY OF GLASGOW	ERA2537456		public	D9216AB41DD79F21A694E6D1B8B01991	9CDB161DC3BF2BD2AC5F03158C0E1DF9
41	ERR4085419	2020-05-02 11:32:30	2020-05-02 13:13:42	271176	135349737	0	499	30	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era17/ERR/ERR4085/ERR4085419	ERX4079374		AMPLICON	PCR	VIRAL RNA	SINGLE	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4519783	SAMEA6792111	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR90							no					UNIVERSITY OF GLASGOW	ERA2537783		public	55FD83B542CD914F9DD389F06C212E3E	6AA0F0A6941287B1037DD589CE78873D
42	ERR4085423	2020-05-02 11:32:30	2020-05-02 13:13:54	223846	111706754	0	499	25	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085423	ERX4079378		AMPLICON	PCR	VIRAL RNA	SINGLE	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4519784	SAMEA6792112	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR91							no					UNIVERSITY OF GLASGOW	ERA2537790		public	BB08B15670E446ABFC4E6C154C7EC16B	451E0ADE2A9B22C7763AF26FDA798082
43	ERR4085424	2020-05-02 11:32:30	2020-05-02 13:13:57	275431	137365583	0	498	28	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4085/ERR4085424	ERX4079379		AMPLICON	PCR	VIRAL RNA	SINGLE	0	0	ILLUMINA	Illumina MiSeq	ERP121228	PRJEB37886		629258	ERS4536171	SAMEA6808521	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/CVR919							no					UNIVERSITY OF GLASGOW	ERA2537792		public	6965E9C98B4D4B72E1F790294DA6A9A8	59BBB2ACB8D0F104BCAB786A67D16B65
